92,2,1,1,2,1
10,2,1,3,2,2
83,3,1,4,1,0
61,2,4,2,2,0
107,1,1,3,4,0
113,1,1,3,2,2
80,3,1,3,2,2
125,3,4,2,4,0
36,2,2,1,1,1
105,3,2,1,1,1
81,1,2,1,1,1
122,2,2,3,4,0
94,1,1,2,1,1
60,2,1,2,2,2
8,2,4,1,4,0
20,1,1,3,3,1
85,3,2,1,2,2
50,1,2,1,1,1
68,3,3,2,1,1
89,3,1,3,2,1
52,1,2,2,1,2
19,3,2,1,3,1
118,2,1,2,1,1
16,3,2,1,3,1
91,2,3,2,1,1
79,3,2,2,1,2
23,3,2,1,3,2
25,2,1,2,2,2
30,1,1,3,2,1
57,3,2,1,1,1
3,1,4,1,1,0
114,2,2,1,3,1
37,1,2,1,3,2
66,1,1,1,2,1
110,2,4,3,1,0
116,3,1,2,2,2
88,1,1,2,2,2
77,3,2,2,1,2
82,1,2,1,2,2
64,3,4,3,2,0
84,2,2,2,1,2
86,2,2,1,2,2
6,3,2,1,3,2
74,3,2,1,1,1
106,3,1,2,1,1
115,1,2,1,3,2
130,2,1,1,2,1
54,1,1,1,2,1
33,1,2,2,3,2
67,3,3,1,1,1
69,3,3,3,1,1
39,3,2,1,2,2
53,3,2,1,2,2
127,3,1,2,1,1
96,1,1,1,2,1
121,2,1,3,2,1
70,2,2,2,1,2
123,2,1,2,1,1
42,2,2,1,3,1
78,2,1,2,2,2
11,1,2,4,2,0
129,2,2,1,2,2
128,1,1,2,4,0
5,1,3,2,1,1
4,2,4,4,2,0
95,2,3,2,1,1
73,3,1,2,2,2
26,1,1,2,2,2
48,1,3,2,4,0
104,1,1,2,2,2
102,3,1,4,2,0
2,2,1,3,2,2
41,1,1,3,2,2
119,3,1,3,2,1
75,1,2,4,4,0
47,1,4,2,1,0
93,2,1,2,1,1
46,3,4,1,2,0
132,2,2,1,1,1
108,1,1,2,1,1
18,2,2,4,3,0
62,3,1,2,2,2
120,1,1,3,2,1
35,1,2,1,3,1
27,1,4,4,1,0
98,3,3,3,2,2
109,2,2,1,3,2
31,3,3,2,1,2
112,1,1,1,3,1
34,2,2,1,2,2
63,2,2,2,1,2
65,2,3,2,3,2
117,1,3,2,1,2
56,2,2,1,2,2
59,1,1,1,2,1
76,3,2,2,1,2
1,3,2,1,1,1
28,1,1,2,1,1
22,3,1,4,4,0
29,3,3,2,1,2
111,2,3,2,1,2
97,2,1,3,1,1
49,1,2,1,2,2
51,3,1,1,2,1
87,2,2,4,1,0
58,1,2,2,1,2
32,2,3,2,1,2
72,2,2,1,4,0
55,1,4,2,3,0
103,2,2,1,1,1
7,1,2,1,1,1
99,2,2,3,2,2
15,1,3,2,1,1
126,3,1,2,1,1
45,3,1,1,2,1
101,3,3,1,4,0
100,2,3,4,1,0
24,1,2,3,3,2
124,3,3,2,2,2
13,3,3,4,2,0
14,1,2,2,1,2
38,2,1,1,4,0
71,3,1,2,2,2
43,3,2,2,4,0
131,2,3,1,3,1
17,2,1,1,2,1
12,3,4,1,3,0
44,1,1,4,3,0
40,2,1,2,1,1
90,1,2,1,2,2
21,1,2,2,1,2
9,3,1,1,2,1
